countrygrouprelationid,countrygroupid,countryid
719,5858,706
720,5858,728
721,5858,760
722,5858,762
723,5858,768
724,5858,800
725,5858,834
726,5858,887
727,5858,716
728,5815,4
729,5815,50
730,5815,204
731,5815,854
732,5815,108
733,5815,120
734,5815,140
735,5815,148
736,5815,174
737,5815,178
738,5815,384
739,5815,408
740,5815,180
741,5815,262
742,5815,232
743,5815,231
744,5815,230
745,5815,270
746,5815,288
747,5815,324
748,5815,624
749,5815,332
750,5815,356
751,5815,404
752,5815,417
753,5815,426
754,5815,430
755,5815,450
756,5815,454
757,5815,466
758,5815,478
759,5815,508
760,5815,524
761,5815,558
762,5815,562
763,5815,646
764,5815,678
765,5815,686
766,5815,694
767,5815,90
768,5815,706
769,5815,728
770,5815,729
771,5815,736
772,5815,760
773,5815,762
774,5815,768
775,5815,800
776,5815,834
777,5815,860
778,5815,704
779,5815,887
780,5815,886
781,5815,720
782,5815,716
783,5859,24
784,5859,50
785,5859,64
786,5859,68
787,5859,132
788,5859,116
789,5859,120
790,5859,178
791,5859,384
792,5859,262
793,5859,818
794,5859,222
795,5859,748
796,5859,268
797,5859,288
798,5859,340
799,5859,356
800,5859,360
801,5859,404
802,5859,296
803,5859,417
804,5859,418
805,5859,426
806,5859,478
807,5859,583
808,5859,496
809,5859,504
810,5859,104
811,5859,558
812,5859,566
813,5859,586
814,5859,275
815,5859,598
816,5859,608
817,5859,498
818,5859,678
819,5859,90
820,5859,144
821,5859,729
822,5859,626
823,5859,788
824,5859,804
825,5859,860
826,5859,548
827,5859,704
828,5859,894
829,5502,242
830,5502,540
831,5502,598
832,5502,90
833,5502,548
834,5503,316
835,5503,296
836,5503,584
837,5503,583
838,5503,57.01
839,5503,520
840,5503,580
841,5503,582
842,5503,585
843,5503,581
844,5102,24
845,5102,120
846,5102,140
847,5102,148
848,5102,178
849,5102,180
850,5102,226
851,5102,266
852,5102,678
853,5817,4
854,5817,24
855,5817,28
856,5817,50
857,5817,52
858,5817,204
859,5817,64
860,5817,72
861,5817,854
862,5817,108
863,5817,116
864,5817,140
865,5817,148
866,5817,174
867,5817,384
868,5817,192
869,5817,180
870,5817,262
871,5817,212
872,5817,214
873,5817,818
874,5817,222
875,5817,232
876,5817,748
877,5817,231
878,5817,230
879,5817,266
880,5817,270
881,5817,308
882,5817,324
883,5817,624
884,5817,332
885,5817,340
886,5817,388
887,5817,400
888,5817,404
889,5817,296
890,5817,418
891,5817,426
892,5817,430
893,5817,450
894,5817,454
895,5817,462
896,5817,466
897,5817,478
898,5817,480
899,5817,496
900,5817,504
901,5817,508
902,5817,104
903,5817,516
904,5817,524
905,5817,562
906,5817,586
907,5817,604
908,5817,646
909,5817,659
910,5817,662
911,5817,670
912,5817,678
913,5817,686
914,5817,694
915,5817,90
916,5817,706
917,5817,728
918,5817,144
919,5817,729
920,5817,736
921,5817,626
922,5817,768
923,5817,780
924,5817,788
925,5817,798
926,5817,800
927,5817,834
928,5817,548
929,5817,862
930,5817,887
931,5817,886
932,5817,720
933,5817,894
934,5849,4
935,5849,8
936,5849,12
937,5849,20
938,5849,24
939,5849,28
940,5849,32
941,5849,51
942,5849,31
943,5849,44
944,5849,48
945,5849,50
946,5849,52
947,5849,84
948,5849,204
949,5849,64
950,5849,68
951,5849,70
952,5849,72
953,5849,76
954,5849,96
955,5849,854
956,5849,108
957,5849,132
958,5849,116
959,5849,120
960,5849,140
961,5849,148
962,5849,152
963,5849,159
964,5849,344
965,5849,446
966,5849,156
967,5849,158
968,5849,170
969,5849,174
970,5849,178
971,5849,184
972,5849,188
973,5849,384
974,5849,192
975,5849,408
976,5849,180
977,5849,262
978,5849,212
979,5849,214
980,5849,218
981,5849,818
982,5849,222
983,5849,226
984,5849,232
985,5849,748
986,5849,231
987,5849,230
988,5849,242
989,5849,266
990,5849,270
991,5849,268
992,5849,288
993,5849,308
994,5849,320
995,5849,324
996,5849,624
997,5849,328
998,5849,332
999,5849,340
1000,5849,356
1001,5849,360
1002,5849,364
1003,5849,368
1004,5849,376
1005,5849,388
1006,5849,400
1007,5849,398
1008,5849,404
1009,5849,296
1010,5849,414
1011,5849,417
1012,5849,418
1013,5849,422
1014,5849,426
1015,5849,430
1016,5849,434
1017,5849,450
1018,5849,454
1019,5849,458
1020,5849,462
1021,5849,466
1022,5849,584
1023,5849,478
1024,5849,480
1025,5849,484
1026,5849,583
1027,5849,496
1028,5849,499
1029,5849,504
1030,5849,508
1031,5849,104
1032,5849,516
1033,5849,520
1034,5849,524
1035,5849,558
1036,5849,562
1037,5849,566
1038,5849,570
1039,5849,807
1040,5849,512
1041,5849,586
1042,5849,585
1043,5849,591
1044,5849,598
1045,5849,600
1046,5849,604
1047,5849,608
1048,5849,634
1049,5849,410
1050,5849,498
1051,5849,646
1052,5849,659
1053,5849,662
1054,5849,670
1055,5849,882
1056,5849,674
1057,5849,678
1058,5849,682
1059,5849,686
1060,5849,688
1061,5849,891
1062,5849,690
1063,5849,694
1064,5849,702
1065,5849,90
1066,5849,706
1067,5849,710
1068,5849,728
1069,5849,144
1070,5849,729
1071,5849,736
1072,5849,740
1073,5849,760
1074,5849,762
1075,5849,764
1076,5849,626
1077,5849,768
1078,5849,776
1079,5849,780
1080,5849,788
1081,5849,795
1082,5849,798
1083,5849,800
1084,5849,784
1085,5849,834
1086,5849,858
1087,5849,860
1088,5849,548
1089,5849,862
1090,5849,704
1091,5849,887
1092,5849,890
1093,5849,894
1094,5849,716
1095,336,124
1096,336,312
1097,336,320
1098,336,388
1099,336,474
1100,336,558
1101,336,591
1102,336,630
1103,336,659
1104,336,662
1105,336,670
1106,336,780
1107,336,840
1108,336,850
1109,5103,12
1110,5103,818
1111,5103,434
1112,5103,504
1113,5103,729
1114,5103,736
1115,5103,788
1116,5103,732
1117,429,12
1118,429,818
1119,429,434
1120,429,504
1121,429,788
1122,429,732
1123,5203,60
1124,5203,124
