forestfireid,countryid,elementid,itemid,fireyear,burntarea
292,8,7246,6797,1993,769.8441
293,8,7246,6797,1994,769.8441
294,8,7246,6797,1995,769.8441
295,8,7246,6797,1996,1318.8941
296,8,7246,6797,1997,3274.7095
297,8,7246,6797,1998,1611.3776
298,8,7246,6797,1999,1302.3375
299,8,7246,6797,2000,7672.6022
300,8,7246,6797,2001,0
301,8,7246,6797,2002,0
302,8,7246,6797,2003,171.9336
303,8,7246,6797,2004,0
304,8,7246,6797,2005,0
305,8,7246,6797,2006,0
306,8,7246,6797,2007,1074.747
307,8,7246,6797,2008,0
308,8,7246,6797,2009,214.8833
309,8,7246,6797,2010,0
310,8,7246,6797,2011,408.3896
311,8,7246,6797,2012,666.2594
312,8,7246,6797,2013,0
313,8,7246,6797,2014,0
314,8,7246,6797,2015,64.4986
315,8,7246,6797,2016,107.4579
316,8,7246,6797,2017,429.8171
317,8,7246,6797,2018,0
318,8,7246,6797,2019,0
319,8,7246,6797,2020,0
320,8,7246,6797,2021,1698.0392
321,8,7246,6791,1990,25.4782
322,8,7246,6791,1991,25.4782
323,8,7246,6791,1992,25.4782
324,8,7246,6791,1993,25.4782
325,8,7246,6791,1994,25.4782
326,8,7246,6791,1995,25.4782
327,8,7246,6791,1996,131.7047
328,8,7246,6791,1997,114.1178
329,8,7246,6791,1998,149.8075
330,8,7246,6791,1999,132.0075
331,8,7246,6791,2000,134.7965
332,8,7246,6791,2001,0
333,8,7246,6791,2002,0
334,8,7246,6791,2003,0
335,8,7246,6791,2004,0
336,8,7246,6791,2005,0
337,8,7246,6791,2006,0
338,8,7246,6791,2007,0
339,8,7246,6791,2008,0
340,8,7246,6791,2009,0
341,8,7246,6791,2010,0
342,8,7246,6791,2011,0
343,8,7246,6791,2012,0
344,8,7246,6791,2013,0
345,8,7246,6791,2014,0
346,8,7246,6791,2015,0
347,8,7246,6791,2016,0
348,8,7246,6791,2017,0
349,8,7246,6791,2018,0
350,8,7246,6791,2019,0
351,8,7246,6791,2020,0
352,8,7246,6791,2021,0
353,8,7246,6794,1990,6712.6146
354,8,7246,6794,1991,6712.6146
355,8,7246,6794,1992,6712.6146
356,8,7246,6794,1993,6712.6146
