co2id,countryid,elementid,itemid,fireyear,co2amount
76,12,7273,6993,2001,0
77,12,7273,6993,2002,0
78,12,7273,6993,2003,0
79,12,7273,6993,2004,0
80,12,7273,6993,2005,0
81,12,7273,6993,2006,0
82,12,7273,6993,2007,0
83,12,7273,6993,2008,0
84,12,7273,6993,2009,0
85,12,7273,6993,2010,0
86,12,7273,6993,2011,0
87,12,7273,6993,2012,0
88,12,7273,6993,2013,0
89,12,7273,6993,2014,0
90,12,7273,6993,2015,0
91,12,7273,6993,2016,0
92,12,7273,6993,2017,0
93,12,7273,6993,2018,0
94,12,7273,6993,2019,0
95,12,7273,6993,2020,0
96,12,7273,6993,2021,0
97,16,7273,6993,1990,0
98,16,7273,6993,1991,0
99,16,7273,6993,1992,0
100,16,7273,6993,1993,0
101,16,7273,6993,1994,0
102,16,7273,6993,1995,0
103,16,7273,6993,1996,0
104,16,7273,6993,1997,0
105,16,7273,6993,1998,0
106,16,7273,6993,1999,0
107,16,7273,6993,2000,0
108,16,7273,6993,2001,0
109,16,7273,6993,2002,0
110,16,7273,6993,2003,0
111,16,7273,6993,2004,0
112,16,7273,6993,2005,0
113,16,7273,6993,2006,0
114,16,7273,6993,2007,0
115,16,7273,6993,2008,0
116,16,7273,6993,2009,0
117,16,7273,6993,2010,0
118,16,7273,6993,2011,0
119,16,7273,6993,2012,0
120,16,7273,6993,2013,0
121,16,7273,6993,2014,0
122,16,7273,6993,2015,0
123,16,7273,6993,2016,0
124,16,7273,6993,2017,0
125,16,7273,6993,2018,0
126,16,7273,6993,2019,0
127,16,7273,6993,2020,0
128,16,7273,6993,2021,0
129,20,7273,6993,1990,0
130,20,7273,6993,1991,0
131,20,7273,6993,1992,0
132,20,7273,6993,1993,0
133,20,7273,6993,1994,0
134,20,7273,6993,1995,0
135,20,7273,6993,1996,0
136,20,7273,6993,1997,0
137,20,7273,6993,1998,0
138,20,7273,6993,1999,0
139,20,7273,6993,2000,0
140,20,7273,6993,2001,0
141,20,7273,6993,2002,0
142,20,7273,6993,2003,0
143,20,7273,6993,2004,0
144,20,7273,6993,2005,0
145,20,7273,6993,2006,0
146,20,7273,6993,2007,0
147,20,7273,6993,2008,0
148,20,7273,6993,2009,0
149,20,7273,6993,2010,0
150,20,7273,6993,2011,0
151,20,7273,6993,2012,0
152,20,7273,6993,2013,0
153,20,7273,6993,2014,0
154,20,7273,6993,2015,0
155,20,7273,6993,2016,0
156,20,7273,6993,2017,0
157,20,7273,6993,2018,0
158,20,7273,6993,2019,0
159,20,7273,6993,2020,0
160,20,7273,6993,2021,0
161,24,7273,6993,1990,0
162,24,7273,6993,1991,0
163,24,7273,6993,1992,0
164,24,7273,6993,1993,0
165,24,7273,6993,1994,0
166,24,7273,6993,1995,0
167,24,7273,6993,1996,0
168,24,7273,6993,1997,0
169,24,7273,6993,1998,0
170,24,7273,6993,1999,0
171,24,7273,6993,2000,0
172,24,7273,6993,2001,0
173,24,7273,6993,2002,0
